iter	RMSE
0	0.4510861325
1	0.4428534147
2	0.4361412075
3	0.4285815038
4	0.4215979781
5	0.4153552435
6	0.4083715752
7	0.4043356345
8	0.3991041667
9	0.3953561172
10	0.3898266635
11	0.3835700191
12	0.3800416398
13	0.3791517535
14	0.3742764704
15	0.3695946659
16	0.3646727497
17	0.3620406613
18	0.3603558221
19	0.3568946436
20	0.3561873739
21	0.3511984102
22	0.348649973
23	0.3444797117
24	0.3439191244
25	0.3397776874
26	0.3366077414
27	0.333910938
28	0.3319337103
29	0.3285559587
30	0.3257972545
31	0.3224930409
32	0.3187033896
33	0.3168523773
34	0.3146916681
35	0.3109658857
36	0.3082323676
37	0.308114379
38	0.3042698705
39	0.3035914681
40	0.3002040015
41	0.2968859197
42	0.2944892264
43	0.2915419952
44	0.2901666731
45	0.2884137469
46	0.2863016267
47	0.2847185924
48	0.2843998844
49	0.2829997238
50	0.2827797965
51	0.2797605555
52	0.2772515771
53	0.2749982014
54	0.2728053913
55	0.2709149631
56	0.268863664
57	0.2659018546
58	0.2639188128
59	0.2625143828
60	0.2615076826
61	0.2594982496
62	0.257569491
63	0.2572161963
64	0.2561038411
65	0.2536386084
66	0.2516831279
67	0.2501570948
68	0.2488244818
69	0.2470454874
70	0.2460092063
71	0.2452522989
72	0.24372252
73	0.242152143
74	0.2408411728
75	0.2408354182
76	0.2390731559
77	0.238406622
78	0.237192184
79	0.2364446142
80	0.2364106979
81	0.2350794953
82	0.2336669553
83	0.2323786091
84	0.2308778492
85	0.2298047105
86	0.228111999
87	0.2268663088
88	0.2259849625
89	0.2250809882
90	0.2245860023
91	0.2245421825
92	0.2237574242
93	0.2230353847
94	0.2219784312
95	0.2208895482
96	0.220619032
97	0.2196069081
98	0.2189787865
99	0.2180517634
100	0.2176166558
101	0.2169386928
102	0.2160138586
103	0.2150669947
104	0.214424068
105	0.2143169081
106	0.2132721148
107	0.2128726032
108	0.2121117393
109	0.2111577136
110	0.211061202
111	0.2103188497
112	0.2094318537
113	0.2088288278
114	0.2081570404
115	0.2074012651
116	0.2071237998
117	0.2065240032
118	0.2058539212
119	0.2053165759
120	0.2046889251
121	0.2043193131
122	0.2037004194
123	0.2031593167
124	0.2031267939
125	0.2027342349
126	0.2021584442
127	0.2016873923
128	0.2013248107
129	0.2008136395
130	0.2005423366
131	0.2000110602
132	0.1995711014
133	0.1990389914
134	0.1985559516
135	0.1982585958
136	0.1979622305
137	0.1974827954
138	0.1970454318
139	0.1967725207
140	0.196542459
141	0.1961469586
142	0.1957032131
143	0.1951972769
144	0.1948396366
145	0.1946747965
146	0.1942512372
147	0.1938475317
148	0.1934704974
149	0.1931757175
150	0.1927855112
151	0.1922366836
152	0.1918472465
153	0.1912983815
154	0.190979539
155	0.1906379398
156	0.1903032134
157	0.1899987018
158	0.1897543761
159	0.189500383
160	0.1892390599
161	0.1889914944
162	0.1888779608
163	0.1886858795
164	0.1885075069
165	0.1882964807
166	0.1880215774
167	0.1876626722
168	0.1874149977
169	0.1870630633
170	0.1869616117
171	0.1867233997
172	0.1864752702
173	0.186197261
174	0.1859158911
175	0.1857825997
176	0.1854708866
177	0.1851958613
178	0.1847513042
179	0.1845197942
180	0.1842885907
181	0.1839862012
182	0.1837054189
183	0.183483249
184	0.1831922456
185	0.1829694071
186	0.1826456658
187	0.182505929
188	0.182227766
189	0.1820154562
190	0.1819678554
191	0.1818557375
192	0.1816905103
193	0.181493281
194	0.1812805014
195	0.1811362012
196	0.1810328095
197	0.1808198567
198	0.1807223022
199	0.1805582595
200	0.1803389803
201	0.1800137193
202	0.179727954
203	0.1795343234
204	0.1793872886
205	0.1793123399
206	0.1792376563
207	0.179103789
208	0.178891742
209	0.1787067299
210	0.1785634685
211	0.1785196449
212	0.1784852153
213	0.1783122707
214	0.1782042276
215	0.1781093519
216	0.1779048267
217	0.1777809663
218	0.177594893
219	0.1773810307
220	0.177243728
221	0.1770705841
222	0.1769739366
223	0.1767389854
224	0.1766312055
225	0.1765127749
226	0.1763649659
227	0.1762340044
228	0.1761448153
229	0.1759304824
230	0.1758257777
231	0.1756591806
232	0.1755790149
233	0.1754379822
234	0.175294541
235	0.1751891805
236	0.1751043519
237	0.1749762079
238	0.1748433616
239	0.1747084687
240	0.1746467189
241	0.1744677082
242	0.1743587934
243	0.1741397762
244	0.1740186694
245	0.1739521908
246	0.1737908457
247	0.1735787769
248	0.1735422609
249	0.1735143799
250	0.173421664
251	0.1733125839
252	0.1732390659
253	0.1730769708
254	0.1730637374
255	0.172901579
256	0.1727516321
257	0.1726932044
258	0.1725640652
259	0.1724825687
260	0.172402626
261	0.1723236
262	0.1722431792
263	0.1721759817
264	0.1720969589
265	0.1720144516
266	0.1719751365
267	0.1719190332
268	0.1717761921
269	0.1716431207
270	0.1715080685
271	0.1713657288
272	0.1713264416
273	0.1712066423
274	0.171141087
275	0.1710624968
276	0.1709818499
277	0.1708990439
278	0.1708560985
279	0.1707059912
280	0.1705598952
281	0.1704985602
282	0.1704452763
283	0.1703557198
284	0.1703385921
285	0.1702938498
286	0.1702488627
287	0.1701432429
288	0.1699973701
289	0.1698570266
290	0.1697436355
291	0.169654493
292	0.1694631223
293	0.1694028424
294	0.1693571704
295	0.1692638854
296	0.1692082428
297	0.1691061879
298	0.1690102175
299	0.1689677913
300	0.1688862431
301	0.168785748
302	0.168698618
303	0.1686660709
304	0.1686069383
305	0.1685776103
306	0.1685262592
307	0.1684866676
308	0.1684546912
309	0.1684372203
310	0.1682923522
311	0.1682269235
312	0.1681411541
313	0.1680571482
314	0.1679938088
315	0.167896568
316	0.167829144
317	0.1677965184
318	0.1677037173
319	0.1676902644
320	0.1676396566
321	0.1675896461
322	0.1675250846
323	0.1674903327
324	0.167400301
325	0.1673518379
326	0.1672625773
327	0.1672072984
328	0.1671149305
329	0.1670660495
330	0.1670255288
331	0.1669609875
332	0.1669412449
333	0.1668494013
334	0.1668130942
335	0.1667427295
336	0.1666688107
337	0.1666433967
338	0.1665947166
339	0.1664842659
340	0.1664600841
341	0.1664100591
342	0.1663656484
343	0.1662556495
344	0.1661850828
345	0.1661715756
346	0.1661561559
347	0.166133595
348	0.166028509
349	0.1659299906
350	0.1658855423
351	0.1658623196
352	0.1657589863
353	0.1656376567
354	0.1655774448
355	0.1655501956
356	0.1654646317
357	0.1653908635
358	0.1653428056
359	0.1653183525
360	0.1652501219
361	0.1651851592
362	0.1651464594
363	0.1651136433
364	0.1650704387
365	0.1650093461
366	0.1649397481
367	0.1649183492
368	0.1648312516
369	0.1647599732
370	0.1647198022
371	0.1646776702
372	0.1646597897
373	0.1645962504
374	0.1645722416
375	0.1645436304
376	0.1644730531
377	0.1644101301
378	0.1643738358
379	0.1643207504
380	0.1642915338
381	0.1642657752
382	0.1642297493
383	0.1642065305
384	0.1641341057
385	0.1641139791
386	0.1640869037
387	0.163991348
388	0.1639433337
389	0.1639169761
390	0.163839932
391	0.1637521955
392	0.1637255063
393	0.163700712
394	0.1636734099
395	0.1635729829
396	0.1635555657
397	0.1635248998
398	0.1634601133
399	0.1634325741
400	0.1634015201
401	0.1633459108
402	0.1633071187
403	0.163215436
404	0.1631923435
405	0.1631163829
406	0.1630561526
407	0.1630372392
408	0.1630013658
409	0.1629501146
410	0.1629187284
411	0.1628852368
412	0.1627996853
413	0.162739589
414	0.1626773457
415	0.162588099
416	0.1625695982
417	0.1625149253
418	0.162495141
419	0.1624858296
420	0.1624529449
421	0.1623939595
422	0.1623256384
423	0.1623121859
424	0.1622412855
425	0.1621591447
426	0.1621321259
427	0.1621159915
428	0.1620934443
429	0.1620466398
430	0.1620173883
431	0.1619495863
432	0.161878834
433	0.1618318399
434	0.1617853049
435	0.1617079411
436	0.161634884
437	0.1615600667
438	0.1615339733
439	0.1614687735
440	0.161456913
441	0.1614342208
442	0.1614039717
443	0.1613643404
444	0.1613115616
445	0.1612955174
446	0.1612767852
447	0.1612268849
448	0.1612187297
449	0.1611929485
450	0.1611537942
451	0.1611273718
452	0.1611079051
453	0.1610496406
454	0.1609730448
455	0.1608928097
456	0.1608236297
457	0.1607773072
458	0.1607327789
459	0.1606594066
460	0.1606475637
461	0.1606348669
462	0.1606105596
463	0.1606011598
464	0.1605698932
465	0.1605539054
466	0.1605122456
467	0.1604435098
468	0.1604144251
469	0.1604052517
470	0.1603529438
471	0.160325469
472	0.1602306978
473	0.1602109218
474	0.1601817735
475	0.1601465296
476	0.1600771134
477	0.1600585069
478	0.159998562
479	0.1599454415
480	0.159892149
481	0.1598376545
482	0.1598043098
483	0.1597757303
484	0.159747851
485	0.1596645837
486	0.1596471281
487	0.1595914804
488	0.1595607164
489	0.1595528598
490	0.1595183859
491	0.1594564348
492	0.1593728014
493	0.1593516265
494	0.1593006284
495	0.1592592523
496	0.1592429659
497	0.1592204802
498	0.159207046
499	0.1591909199
500	0.1591762639
501	0.1591107287
502	0.1590669462
503	0.159039022
504	0.1589839273
505	0.1589684509
506	0.1589535441
507	0.1588984612
508	0.1588732538
509	0.1588621827
510	0.1588025218
511	0.1587301212
512	0.1586828678
513	0.1586541323
514	0.1586343801
515	0.1585861095
516	0.1585260539
517	0.1584723824
518	0.1584416389
519	0.1584177168
520	0.1584065757
521	0.1583726692
522	0.1583405526
523	0.1582949892
524	0.1582515989
525	0.1582197413
526	0.1581831264
527	0.1581615585
528	0.1580707723
529	0.1580526855
530	0.1580000974
531	0.1579513146
532	0.1578893274
533	0.1578356932
534	0.1577917158
535	0.1577346487
536	0.1576896242
537	0.1576484644
538	0.1576132028
539	0.157565965
540	0.1575244147
541	0.1574964558
542	0.1574873258
543	0.1574374325
544	0.1574151725
545	0.1573751647
546	0.1573518715
547	0.1573230516
548	0.1573105063
549	0.157241013
550	0.1571850607
551	0.1571479962
552	0.1571237965
553	0.1571019739
554	0.1570795121
555	0.157051669
556	0.1570246674
557	0.1570057282
558	0.156950211
559	0.1569299639
560	0.1569033411
561	0.1568669343
562	0.1568537215
563	0.1568212293
564	0.1567677979
565	0.1567461172
566	0.1567093645
567	0.1566927681
568	0.1566677957
569	0.1566605737
570	0.1566458363
571	0.1566243239
572	0.1566129296
573	0.1565610159
574	0.1565305132
575	0.156521263
576	0.1564571483
577	0.156411622
578	0.1563798225
579	0.156351211
580	0.1563032131
581	0.1562924009
582	0.1562544702
583	0.1562211162
584	0.1561625242
585	0.1561498786
586	0.1561297913
587	0.1561111728
588	0.1560647126
589	0.156022024
590	0.1559890499
591	0.1559722479
592	0.1559490747
593	0.1559248737
594	0.1559093167
595	0.1558522793
596	0.1558299672
597	0.1558105687
598	0.1557477378
599	0.1557371411
