iter	Passed	Remaining
0	225	135197
1	445	133124
2	485	96634
3	697	103979
4	929	110564
5	1150	113865
6	1354	114749
7	1730	128022
8	1967	129208
9	2149	126832
10	2348	125754
11	2549	124937
12	2754	124376
13	2820	118051
14	2869	111926
15	2943	107425
16	3138	107629
17	3331	107707
18	3506	107214
19	3703	107392
20	3742	103176
21	3943	103612
22	4153	104209
23	4351	104438
24	4370	100516
25	4564	100763
26	4765	101142
27	4971	101558
28	5024	98930
29	5134	97552
30	5173	94950
31	5369	95308
32	5564	95610
33	5606	93337
34	5794	93535
35	5986	93794
36	6179	94027
37	6219	91976
38	6429	92482
39	6458	90417
40	6652	90700
41	6837	90840
42	7026	91017
43	7207	91078
44	7397	91230
45	7589	91401
46	7643	89928
47	7826	90000
48	7853	88311
49	8046	88512
50	8069	86866
51	8267	87124
52	8456	87272
53	8647	87433
54	8837	87567
55	9026	87683
56	9213	87774
57	9398	87824
58	9525	87347
59	9567	86110
60	9636	85146
61	9685	84041
62	9877	84191
63	9916	83047
64	9940	81819
65	10118	81864
66	10285	81820
67	10467	81893
68	10534	81068
69	10718	81154
70	10895	81178
71	11069	81173
72	11245	81186
73	11297	80300
74	11476	80332
75	11501	79301
76	11684	79361
77	11865	79405
78	12042	79421
79	12084	78551
80	12106	77569
81	12289	77632
82	12480	77740
83	12678	77880
84	12888	78088
85	13154	78621
86	13272	78263
87	13450	78257
88	13501	77517
89	13698	77623
90	13749	76905
91	13775	76064
92	13972	76173
93	14169	76275
94	14248	75743
95	14447	75849
96	14537	75387
97	14662	75109
98	14696	74375
99	14818	74091
100	14864	73440
101	14941	72948
102	15143	73069
103	15328	73104
104	15446	72819
105	15479	72140
106	15604	71898
107	15647	71284
108	15764	71010
109	15962	71105
110	16052	70717
111	16104	70171
112	16300	70250
113	16354	69719
114	16408	69201
115	16614	69323
116	16724	69043
117	16909	69071
118	17085	69060
119	17128	68515
120	17317	68553
121	17352	67988
122	17526	67970
123	17701	67952
124	17728	67369
125	17899	67336
126	18100	67412
127	18169	66999
128	18207	66480
129	18397	66515
130	18424	65962
131	18601	65951
132	18677	65582
133	18852	65562
134	18923	65180
135	18954	64667
136	19142	64691
137	19334	64728
138	19519	64735
139	19558	64263
140	19661	64005
141	19843	64000
142	20028	64008
143	20209	63997
144	20385	63969
145	20494	63729
146	20670	63700
147	20848	63673
148	21028	63649
149	21228	63685
150	21434	63734
151	21647	63801
152	21837	63799
153	22035	63816
154	22215	63778
155	22398	63750
156	22580	63713
157	22768	63694
158	22946	63644
159	23141	63637
160	23371	63726
161	23575	63741
162	23617	63318
163	23800	63274
164	23992	63252
165	24172	63197
166	24356	63151
167	24542	63109
168	24732	63074
169	24908	63004
170	25093	62955
171	25275	62894
172	25458	62835
173	25636	62765
174	25816	62698
175	25992	62618
176	26178	62561
177	26356	62486
178	26540	62421
179	26731	62373
180	26914	62305
181	27094	62229
182	27274	62151
183	27448	62058
184	27633	61987
185	27813	61906
186	27995	61829
187	28171	61738
188	28357	61665
189	28535	61576
190	28724	61508
191	28904	61421
192	29086	61337
193	29264	61243
194	29444	61154
195	29623	61061
196	29806	60975
197	29989	60887
198	30173	60801
199	30350	60700
200	30531	60606
201	30714	60516
202	30896	60423
203	31078	60328
204	31257	60228
205	31440	60133
206	31621	60035
207	31799	59928
208	31982	59832
209	32165	59735
210	32345	59631
211	32526	59529
212	32739	59484
213	32933	59403
214	33123	59313
215	33302	59204
216	33483	59096
217	33657	58978
218	33842	58876
219	34021	58764
220	34199	58650
221	34378	58536
222	34565	58435
223	34747	58326
224	34931	58218
225	35110	58102
226	35290	57988
227	35465	57864
228	35643	57745
229	35821	57625
230	36000	57506
231	36177	57385
232	36356	57265
233	36533	57141
234	36713	57022
235	36908	56926
236	37090	56808
237	37269	56686
238	37454	56573
239	37636	56455
240	37818	56335
241	38000	56215
242	38181	56094
243	38357	55963
244	38542	55846
245	38721	55720
246	38906	55602
247	39087	55479
248	39265	55350
249	39444	55222
250	39626	55098
251	39809	54975
252	39996	54856
253	40185	54741
254	40364	54610
255	40542	54478
256	40723	54351
257	40905	54223
258	41084	54092
259	41259	53955
260	41441	53826
261	41619	53692
262	41801	53562
263	41975	53423
264	42154	53289
265	42333	53155
266	42519	53029
267	42694	52890
268	42875	52757
269	43055	52623
270	43240	52495
271	43418	52357
272	43609	52234
273	43786	52096
274	43970	51964
275	44146	51823
276	44326	51687
277	44509	51554
278	44692	51420
279	44874	51285
